Mon Feb 17 13:30:51 2014    prof

         364164 function calls (359960 primitive calls) in 57.978 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.046    0.046   57.978   57.978 carplayer:21(<module>)
        1    0.032    0.032   54.653   54.653 carplayer:2384(main_loop)
      167   28.505    0.171   28.505    0.171 {built-in method poll}
      168    0.116    0.001   26.743    0.159 carplayer:2310(process)
      955    0.038    0.000   15.174    0.016 mpd.py:167(<lambda>)
      675    0.091    0.000   14.801    0.022 mpd.py:196(_execute)
      167    0.193    0.001   12.561    0.075 carplayer:2054(udata)
     1561    0.562    0.000   12.410    0.008 mpd.py:272(_read_objects)
     8829    0.514    0.000   11.995    0.001 mpd.py:252(_read_pairs)
     8829    0.675    0.000   11.482    0.001 mpd.py:243(_read_pair)
     8829    1.498    0.000   10.444    0.001 mpd.py:226(_read_line)
      504    0.124    0.000   10.266    0.020 mpd.py:328(_fetch_object)
     8830    1.981    0.000    8.405    0.001 socket.py:406(readline)
      167    0.057    0.000    7.788    0.047 carplayer:2269(uwin)
      679    4.869    0.007    4.869    0.007 {method 'recv' of '_socket.socket' objects}
      167    1.653    0.010    3.893    0.023 carplayer:1305(uwin)
      167    0.118    0.001    3.756    0.022 carplayer:2256(round_two)
      167    0.961    0.006    3.589    0.021 carplayer:1618(round_two)
      167    0.057    0.000    3.293    0.020 carplayer:441(uwin)
      634    0.472    0.001    3.153    0.005 Adafruit_CharLCD.py:204(write4bits)
       94    0.047    0.000    2.657    0.028 Adafruit_CharLCD.py:246(message)
      171    0.038    0.000    2.547    0.015 mpd.py:305(_wrap_iterator)
      170    0.011    0.000    2.313    0.014 mpd.py:334(_fetch_objects)
        1    0.000    0.000    2.209    2.209 carplayer:2033(__enter__)
     4439    0.282    0.000    2.174    0.000 Adafruit_CharLCD.py:232(delayMicroseconds)
      815    0.151    0.000    2.152    0.003 mpd.py:220(_write_command)
      815    0.118    0.000    1.971    0.002 mpd.py:216(_write_line)
      169    0.029    0.000    1.952    0.012 mpd.py:346(_fetch_database)
     4439    1.891    0.000    1.891    0.000 {time.sleep}
      815    0.201    0.000    1.717    0.002 socket.py:292(flush)
     1268    0.255    0.000    1.605    0.001 Adafruit_CharLCD.py:237(pulseEnable)
        1    0.001    0.001    1.517    1.517 carplayer:1988(_init_mods)
      815    1.479    0.002    1.479    0.002 {method 'sendall' of '_socket.socket' objects}
 4200/336    0.565    0.000    1.308    0.004 copy.py:145(deepcopy)
        1    0.002    0.002    1.253    1.253 carplayer:926(__init__)
      336    0.209    0.001    1.211    0.004 copy.py:226(_deepcopy_list)
    11734    1.203    0.000    1.203    0.000 {built-in method insstr}
        2    0.002    0.001    0.730    0.365 carplayer:1098(_build_view)
        4    0.062    0.015    0.677    0.169 __init__.py:1(<module>)
      167    0.246    0.001    0.660    0.004 carplayer:2070(round_one)
       93    0.010    0.000    0.533    0.006 Adafruit_CharLCD.py:113(setCursor)
      167    0.017    0.000    0.521    0.003 carplayer:2306(try_leave_idle)
      167    0.108    0.001    0.514    0.003 carplayer:696(udata)
      140    0.086    0.001    0.504    0.004 carplayer:2288(leave_idle)
        3    0.001    0.000    0.470    0.157 pickle.py:1377(load)
        3    0.089    0.030    0.469    0.156 pickle.py:845(load)
     9509    0.460    0.000    0.460    0.000 {method 'write' of 'cStringIO.StringO' objects}
     5511    0.314    0.000    0.440    0.000 posixpath.py:119(basename)
        1    0.000    0.000    0.424    0.424 carplayer:1069(jump_and_dont_play_uri)
    17284    0.391    0.000    0.391    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.390    0.390 mpd.py:340(_fetch_songs)
      132    0.008    0.000    0.386    0.003 re.py:226(_compile)
       15    0.003    0.000    0.375    0.025 sre_compile.py:493(compile)
       15    0.000    0.000    0.371    0.025 re.py:188(compile)
     1002    0.239    0.000    0.347    0.000 carplayer:157(_format_time)
     4200    0.289    0.000    0.344    0.000 copy.py:267(_keep_alive)
      627    0.339    0.001    0.339    0.001 {built-in method noutrefresh}
      140    0.012    0.000    0.313    0.002 mpd.py:169(_send)
     8869    0.306    0.000    0.306    0.000 {method 'split' of 'str' objects}
    17661    0.302    0.000    0.302    0.000 {method 'seek' of 'cStringIO.StringO' objects}
        1    0.023    0.023    0.260    0.260 httplib.py:67(<module>)
        1    0.000    0.000    0.258    0.258 carplayer:1697(__init__)
        1    0.000    0.000    0.257    0.257 carplayer:1707(_build_view)
        1    0.000    0.000    0.245    0.245 mpd.py:322(_fetch_list)
      332    0.010    0.000    0.242    0.001 mpd.py:258(_read_list)
     3692    0.234    0.000    0.236    0.000 {method 'join' of 'str' objects}
      167    0.023    0.000    0.212    0.001 carplayer:331(uwin)
     5511    0.205    0.000    0.205    0.000 {built-in method hline}
    11211    0.203    0.000    0.203    0.000 {method 'startswith' of 'str' objects}
       15    0.001    0.000    0.199    0.013 sre_compile.py:478(_code)
    11547    0.187    0.000    0.187    0.000 {RPi.GPIO.output}
     8151    0.181    0.000    0.181    0.000 {method 'read' of 'cStringIO.StringO' objects}
    13020    0.176    0.000    0.176    0.000 {method 'lower' of 'str' objects}
      167    0.175    0.001    0.175    0.001 {_curses.doupdate}
       15    0.002    0.000    0.172    0.011 sre_parse.py:675(parse)
     8152    0.168    0.000    0.168    0.000 {method 'readline' of 'cStringIO.StringO' objects}
    57/15    0.007    0.000    0.167    0.011 sre_parse.py:301(_parse_sub)
      955    0.119    0.000    0.167    0.000 mpd.py:152(__getattr__)
    61/15    0.078    0.001    0.166    0.011 sre_parse.py:379(_parse)
    15547    0.165    0.000    0.165    0.000 {method 'get' of 'dict' objects}
     8833    0.163    0.000    0.163    0.000 {method 'rstrip' of 'str' objects}
    17680    0.159    0.000    0.159    0.000 {method 'has_key' of 'dict' objects}
        1    0.025    0.025    0.159    0.159 ttplyrics.py:22(<module>)
   112/15    0.073    0.001    0.155    0.010 sre_compile.py:32(_compile)
     8832    0.154    0.000    0.154    0.000 {cStringIO.StringIO}
     2722    0.138    0.000    0.138    0.000 {method 'format' of 'str' objects}
      815    0.117    0.000    0.136    0.000 socket.py:315(write)
13333/13278    0.128    0.000    0.129    0.000 {len}
     5512    0.126    0.000    0.126    0.000 {method 'rfind' of 'str' objects}
      167    0.101    0.001    0.125    0.001 carplayer:726(round_one)
        1    0.017    0.017    0.123    0.123 urlparse.py:29(<module>)
     1837    0.112    0.000    0.112    0.000 carplayer:114(udata)
      167    0.034    0.000    0.112    0.001 carplayer:319(_make_menu_str)
    18561    0.109    0.000    0.109    0.000 {ord}
      167    0.076    0.000    0.108    0.001 carplayer:1724(round_one)
      301    0.051    0.000    0.098    0.000 pickle.py:961(load_string)
    12152    0.098    0.000    0.098    0.000 {method 'append' of 'list' objects}
        1    0.011    0.011    0.096    0.096 urllib2.py:76(<module>)
      167    0.024    0.000    0.093    0.001 carplayer:350(uwin)
     8830    0.092    0.000    0.092    0.000 {method 'tell' of 'cStringIO.StringO' objects}
     2313    0.087    0.000    0.087    0.000 {range}
        1    0.000    0.000    0.077    0.077 urllib2.py:827(AbstractBasicAuthHandler)
      167    0.052    0.000    0.074    0.000 carplayer:1130(round_one)
      996    0.055    0.000    0.071    0.000 pickle.py:1178(load_append)
     2967    0.069    0.000    0.069    0.000 {method 'read' of 'file' objects}
      167    0.063    0.000    0.063    0.000 carplayer:310(_make_mode_str)
       39    0.005    0.000    0.060    0.002 sre_compile.py:178(_compile_charset)
     9072    0.057    0.000    0.057    0.000 {id}
        1    0.000    0.000    0.055    0.055 carplayer:881(load_fav_database)
       39    0.033    0.001    0.054    0.001 sre_compile.py:207(_optimize_charset)
      167    0.023    0.000    0.053    0.000 carplayer:379(uwin)
        1    0.011    0.011    0.052    0.052 mimetools.py:1(<module>)
        1    0.045    0.045    0.049    0.049 socket.py:45(<module>)
      334    0.023    0.000    0.049    0.000 pickle.py:1022(load_list)
      627    0.046    0.000    0.046    0.000 {built-in method erase}
     3864    0.045    0.000    0.045    0.000 copy.py:198(_deepcopy_atomic)
     3492    0.045    0.000    0.045    0.000 {isinstance}
        1    0.016    0.016    0.044    0.044 urllib.py:23(<module>)
       15    0.004    0.000    0.042    0.003 sre_compile.py:359(_compile_info)
       84    0.024    0.000    0.040    0.000 carplayer:423(_make_tm_str)
        1    0.017    0.017    0.039    0.039 tempfile.py:18(<module>)
      167    0.027    0.000    0.038    0.000 carplayer:1860(round_one)
      167    0.030    0.000    0.038    0.000 carplayer:1122(udata)
      333    0.031    0.000    0.038    0.000 pickle.py:911(load_int)
      424    0.015    0.000    0.035    0.000 sre_parse.py:130(__getitem__)
        2    0.027    0.013    0.035    0.017 collections.py:288(namedtuple)
      635    0.023    0.000    0.035    0.000 pickle.py:1164(load_put)
        1    0.006    0.006    0.034    0.034 gzip.py:4(<module>)
      485    0.028    0.000    0.034    0.000 urlparse.py:331(<genexpr>)
        1    0.001    0.001    0.033    0.033 carplayer:869(copy_favs_to_main_database)
        1    0.009    0.009    0.033    0.033 pickle.py:25(<module>)
      407    0.010    0.000    0.033    0.000 sre_parse.py:201(get)
       20    0.031    0.002    0.033    0.002 carplayer:909(set_fav_directory_from_index)
        1    0.001    0.001    0.032    0.032 carplayer:1977(_init_data)
      520    0.026    0.000    0.031    0.000 sre_parse.py:182(__next)
      167    0.030    0.000    0.030    0.000 {time.localtime}
      835    0.027    0.000    0.027    0.000 carplayer:121(round_one)
   155/66    0.023    0.000    0.027    0.000 sre_parse.py:140(getwidth)
       84    0.018    0.000    0.026    0.000 carplayer:432(_make_lcd_tm_str)
        1    0.005    0.005    0.026    0.026 Adafruit_CharLCD.py:57(__init__)
      334    0.023    0.000    0.025    0.000 pickle.py:870(marker)
      825    0.025    0.000    0.025    0.000 {max}
        1    0.001    0.001    0.025    0.025 lrc.py:21(<module>)
     1300    0.024    0.000    0.024    0.000 {method 'readline' of 'file' objects}
      485    0.019    0.000    0.024    0.000 urllib.py:1203(<genexpr>)
      681    0.023    0.000    0.023    0.000 {method 'find' of 'str' objects}
      117    0.004    0.000    0.023    0.000 re.py:134(match)
        1    0.009    0.009    0.023    0.023 io.py:34(<module>)
      167    0.022    0.000    0.022    0.000 {built-in method attroff}
        1    0.016    0.016    0.021    0.021 random.py:40(<module>)
      634    0.021    0.000    0.021    0.000 {bin}
      140    0.021    0.000    0.021    0.000 mpd.py:178(_fetch)
        1    0.011    0.011    0.020    0.020 minidom.py:16(<module>)
      301    0.016    0.000    0.020    0.000 {method 'decode' of 'str' objects}
        9    0.019    0.002    0.019    0.002 sre_compile.py:258(_mk_bitmap)
        1    0.010    0.010    0.019    0.019 collections.py:1(<module>)
      167    0.016    0.000    0.019    0.000 carplayer:1286(round_two)
       27    0.019    0.001    0.019    0.001 {built-in method getch}
        1    0.006    0.006    0.018    0.018 threading.py:1(<module>)
      334    0.006    0.000    0.018    0.000 pickle.py:1250(load_mark)
        1    0.017    0.017    0.017    0.017 __init__.py:11(<module>)
      170    0.011    0.000    0.017    0.000 mpd.py:453(escape)
       84    0.009    0.000    0.016    0.000 carplayer:409(_make_title_str)
        1    0.012    0.012    0.016    0.016 __init__.py:15(<module>)
      634    0.016    0.000    0.016    0.000 {method 'zfill' of 'str' objects}
      167    0.016    0.000    0.016    0.000 {time.strftime}
     1736    0.016    0.000    0.016    0.000 {chr}
      625    0.015    0.000    0.015    0.000 {method 'replace' of 'str' objects}
        1    0.001    0.001    0.015    0.015 carplayer:1925(_init_curses)
        8    0.010    0.001    0.015    0.002 fnmatch.py:81(translate)
        2    0.014    0.007    0.014    0.007 {_curses.endwin}
        1    0.009    0.009    0.013    0.013 hmac.py:4(<module>)
      167    0.010    0.000    0.013    0.000 carplayer:1605(round_one)
      390    0.006    0.000    0.013    0.000 sre_parse.py:195(match)
        1    0.004    0.004    0.012    0.012 ssl.py:56(<module>)
        1    0.000    0.000    0.012    0.012 carplayer:2051(__exit__)
       42    0.010    0.000    0.012    0.000 carplayer:365(_make_prog_str)
      167    0.008    0.000    0.012    0.000 carplayer:651(round_one)
      167    0.009    0.000    0.012    0.000 carplayer:512(uwin)
        1    0.010    0.010    0.011    0.011 calendar.py:6(<module>)
       84    0.007    0.000    0.011    0.000 carplayer:416(_make_artist_str)
        1    0.004    0.004    0.010    0.010 __init__.py:28(initscr)
      999    0.010    0.000    0.010    0.000 {method 'pop' of 'list' objects}
      679    0.010    0.000    0.010    0.000 {method 'getvalue' of 'cStringIO.StringO' objects}
      141    0.006    0.000    0.009    0.000 carplayer:2302(try_enter_idle)
        1    0.000    0.000    0.009    0.009 warnings.py:45(filterwarnings)
      393    0.009    0.000    0.009    0.000 {min}
     1169    0.009    0.000    0.009    0.000 carplayer:126(round_two)
      167    0.007    0.000    0.009    0.000 carplayer:810(round_two)
        1    0.000    0.000    0.008    0.008 carplayer:1938(_init_mpd)
      167    0.007    0.000    0.008    0.000 carplayer:1800(round_two)
        8    0.001    0.000    0.008    0.001 abc.py:105(register)
        5    0.002    0.000    0.008    0.002 abc.py:86(__new__)
        1    0.008    0.008    0.008    0.008 heapq.py:31(<module>)
     1015    0.008    0.000    0.008    0.000 {method 'isdigit' of 'str' objects}
        1    0.006    0.006    0.008    0.008 base64.py:3(<module>)
        1    0.000    0.000    0.007    0.007 mpd.py:407(connect)
    28/17    0.001    0.000    0.007    0.000 {issubclass}
      675    0.007    0.000    0.007    0.000 {callable}
        1    0.000    0.000    0.006    0.006 Adafruit_CharLCD.py:107(clear)
        8    0.003    0.000    0.006    0.001 abc.py:148(__subclasscheck__)
       28    0.003    0.000    0.006    0.000 mpd.py:428(fileno)
      112    0.006    0.000    0.006    0.000 sre_parse.py:90(__init__)
        1    0.006    0.006    0.006    0.006 mpd.py:17(<module>)
        1    0.000    0.000    0.006    0.006 mpd.py:384(_connect_tcp)
       47    0.003    0.000    0.006    0.000 sre_compile.py:354(_simple)
       35    0.003    0.000    0.006    0.000 sre_parse.py:225(_class_escape)
        1    0.004    0.004    0.005    0.005 __init__.py:5(<module>)
      176    0.005    0.000    0.005    0.000 {method 'ljust' of 'str' objects}
        1    0.005    0.005    0.005    0.005 socks.py:31(<module>)
       33    0.004    0.000    0.005    0.000 re.py:204(escape)
      205    0.003    0.000    0.005    0.000 sre_parse.py:126(__len__)
       29    0.002    0.000    0.004    0.000 socket.py:223(meth)
      168    0.003    0.000    0.004    0.000 sre_parse.py:138(append)
        1    0.003    0.003    0.004    0.004 xmlbuilder.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:71(search_function)
        1    0.004    0.004    0.004    0.004 {_socket.getaddrinfo}
        1    0.004    0.004    0.004    0.004 bisect.py:1(<module>)
        1    0.003    0.003    0.004    0.004 hashlib.py:55(<module>)
        1    0.002    0.002    0.003    0.003 domreg.py:3(<module>)
        6    0.003    0.001    0.003    0.001 {_curses.newwin}
        1    0.003    0.003    0.003    0.003 Adafruit_CharLCD.py:9(<module>)
      141    0.003    0.000    0.003    0.000 carplayer:2280(enter_idle)
        8    0.002    0.000    0.003    0.000 genericpath.py:26(isfile)
      117    0.003    0.000    0.003    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        6    0.003    0.001    0.003    0.001 {built-in method __new__ of type object at 0xb6f736c0}
        1    0.003    0.003    0.003    0.003 {_curses.initscr}
       14    0.002    0.000    0.003    0.000 minicompat.py:102(defproperty)
        1    0.001    0.001    0.003    0.003 {__import__}
       39    0.002    0.000    0.003    0.000 sre_parse.py:257(_escape)
      169    0.003    0.000    0.003    0.000 {built-in method attron}
      357    0.003    0.000    0.003    0.000 {method 'extend' of 'list' objects}
        1    0.003    0.003    0.003    0.003 gzip.py:36(GzipFile)
       13    0.001    0.000    0.003    0.000 {all}
      121    0.003    0.000    0.003    0.000 {getattr}
       23    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
       19    0.001    0.000    0.002    0.000 _weakrefset.py:58(__iter__)
      167    0.002    0.000    0.002    0.000 {method 'clear' of 'dict' objects}
        1    0.001    0.001    0.002    0.002 os.py:35(_get_exports_list)
        1    0.000    0.000    0.002    0.002 threading.py:1090(__init__)
       99    0.002    0.000    0.002    0.000 collections.py:329(<genexpr>)
       31    0.001    0.000    0.002    0.000 pickle.py:1150(load_get)
        1    0.002    0.002    0.002    0.002 carplayer:1014(find_directory_from_index)
        1    0.002    0.002    0.002    0.002 string_escape.py:7(<module>)
       15    0.001    0.000    0.002    0.000 sre_parse.py:178(__init__)
        2    0.002    0.001    0.002    0.001 {dir}
        5    0.001    0.000    0.002    0.000 abc.py:89(<genexpr>)
        1    0.001    0.001    0.002    0.002 minicompat.py:1(<module>)
